1911 1 --- --- 0
2004 1 5.4 0.4 2.9
2004 7 17.3 9.1 13.2
2005 1 7.1 1.4 4.25
2005 7 18.5 9.6 14.05
2006 1 5.2 0.2 2.7
2006 7 22.1 11.0 16.55
2007 1 7.4 1.7 4.55
2007 7 17.2 9.0 13.1
2008 1 6.1 1.5 3.8
2008 7 18.7 10.7 14.7
2009 1 4.3 -1.0 1.65
2009 7 18.4 10.1 14.25
2010 1 2.2 -3.7 -0.75
2010 7 17.0 10.0 13.5
2011 1 4.4 -2.0 1.2
2011 7 18.3 7.4 12.85
2012 1 5.9 0.0 2.95
2012 7 16.1 9.1 12.6
2013 1 4.4 0.2 2.3
2013 7 21.4 11.1 16.25
2014 1 5.7 1.5 3.6
2014 7 20.0 9.1 14.55
2015 1 5.0 -0.6 2.2
2015 7 16.5 8.5 12.5
2016 1 5.3 0.8 3.05
2016 7 17.1 9.5 13.3
2017 1 5.9 -0.5 2.7
2017 7 17.1 9.6 13.35
2018 1 4.6 -0.1 2.25
